ratio_of_positive_carc,number_of_experiments_carc,cas_number,substance_name,use_carc,positive_carc,positive_stringent_carc,negative_carc,negative_stringent_carc,ratio_of_positive_mut,number_of_experiments_mut,use_mut,positive_mut,positive_stringent_mut,negative_mut,negative_stringent_mut,positive,positive_stringent,negative,negative_stringent,use,smiles
,,3096-64-8,"2,5-DIMETHYLPHENYLHYDROXYLAMINE",,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cc1ccc(C)c(NO)c1
,,3101-60-8,P-TERT-BUTYLPHENYL GLYCIDYL ETHER,,,,,,0.08333333333333333,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC(C)(C)c1ccc(OCC2CO2)cc1
,,3102-70-3,"2,4-DIAMINOMESITYLENE",,,,,,0.75,8.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cc1cc(C)c(N)c(C)c1N
,,3102-87-2,"4-AMINO-2,3,5,6-TETRAMETHYLANILINE",,,,,,0.0,10.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",Cc1c(C)c(N)c(C)c(C)c1N
,,3105-55-3,MONOSODIUM MALEATE,,,,,,0.0,10.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",[Na+].[O-]C(=O)\C=C/C([O-])=O
,,3105-97-3,HYCANTHONE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CCN(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12
,,311-45-5,PARAOXON,,,,,,0.75,4.0,PESTICIDES,1.0,1.0,0.0,0.0,1,1,0,0,"PESTICIDES,",CCO[P](=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O
,,31120-85-1,ISOFENPHOS OXON,,,,,,0.5,4.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",CCO[P](=O)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
,,31125-05-0,P-NITROSOACETOPHENONE,,,,,,0.75,4.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CC(=O)c1ccc(cc1)N=O
,,3114-70-3,"1,4-CYCLOHEXANEDIAMINE",,,,,,0.0,8.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",NC1CCC(N)CC1
,,3118-97-6,C.I. SOLVENT ORANGE 7,,,,,,0.42857142857142855,14.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",Cc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(C)c1
,,312304-87-3,N-NITROSO-N-(ACETOXYMETHYL)-3-CHLOROPROPYLAMINE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CC(=O)OCN(CCCCl)N=O
,,312304-89-5,N-NITROSO-N-(ACETOXYMETHYL)-4-CHLOROBUTYLAMINE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CC(=O)OCN(CCCCCl)N=O
,,31272-21-6,PD 71627,,,,,,1.0,6.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cn1nc(C)c(c1N)C(=O)c2ccccc2F
,,31282-15-2,"CIS-[DICHLOROBIS(1,10-PHENANTHROLINE)CHROMIUM(1+)]CHLORIDE",,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",[Cl-].[Cl-].[Cl-].[Cr+3].c1cnc2c(c1)ccc3cccnc23.c4cnc5c(c4)ccc6cccnc56
,,3129-91-7,DICYCLOHEXYLAMINE NITRITE,,,,,,0.3333333333333333,12.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",[O-]N=O.C1CCC(CC1)[NH2+]C2CCCCC2
,,313-80-4,1-AZAPYRENE,,,,,,0.75,4.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",c1cc2ccc3ccnc4ccc(c1)c2c34
,,31300-41-1,ARGENTATIN B,,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",
,,3131-23-5,4-HYDROXYESTRONE,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC12CC[C@H]3C(CCc4c(O)c(O)ccc34)[C@@H]1CCC2=O
,,3132-64-7,"1,2-EPOXY-3-BROMOPROPANE",,,,,,1.0,6.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",BrCC1CO1
,,31324-30-8,ARGENTATIN A,,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",CC(C)(O)C1CC[C@](C)(O1)[C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4CCC5C(C)(C)C(=O)CCC56CC46CC[C@]23C
,,31335-69-0,N-HYDROXY-N-PHENYLFORMAMIDE,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",OC(=O)Nc1ccccc1
,,31383-81-0,"3,3'-DI(METHOXYCARBONYL)-4,4'-DIAMINODIPHENYLMETHANE",,,,,,0.5,4.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",COC(=O)c1cc(Cc2ccc(N)c(c2)C(=O)OC)ccc1N
,,314084-63-4,"3,5-DIETHYL-4-AMINOBIPHENYL",,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CCc1cc(cc(CC)c1N)c2ccccc2
,,31430-15-6,FLUBENDAZOLE,,,,,,0.0,6.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",COC(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c3ccc(F)cc3
,,31431-39-7,MEBENDAZOLE,,,,,,0.5,6.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",COC(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c3ccccc3
,,31438-22-9,1-NITROCARBAZOLE,,,,,,0.6,10.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",[O-][N+](=O)c1cccc2c1[nH]c3ccccc23
,,31464-26-3,4-[N-(BETA-CYANOETHYL)-N-METHYLAMINO]AZOBENZENE,,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",CN(CCC#N)c1ccc(cc1)N=Nc2ccccc2
,,315-30-0,ALLOPURINOL,,,,,,0.0,17.0,DRUGS,0.0,0.0,1.0,1.0,0,0,1,1,"DRUGS,",O=C1N=CN=C2NNC=C12
,,31507-98-9,6-NITRO-DICHLOROBENZIDINE,,,,,,0.6,5.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",
,,3153-55-7,O-NORNUCIFERINE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",COc1c(O)cc2CCN(C)[C@@H]3Cc4ccccc4c1c23
